accession name	SRR	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode length (cm)	Fruit development period (days)	Plant growth period (days)	Chilling requirements (hours)
Hong Ye Tao Ya Bian	SRR1994387	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Peach	Round	White	-	Melting	Acid	Double	Showy	10	-	-	96	-	-	-	-	-	-
Hua Guang	SRR830553	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	13	-	78,4	Globose	Common	2,34	76	265	650
Hua Yu Lu	SRR830569	P. persica (L.) Batsch.	Zhejiang, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Double	Showy	-	14,5	-	115,8	Reniform	Common	2,12	130	238	850
Huang Jin Pan Tao	SRR1994390	P. persica (L.) Batsch.	Landrace, edible, Shanghai, China	Peach	Flat	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	12,5	11,5	112	97,7	-	-	-	-	-	-
Hun Chun Tao	SRR830510	P. persica (L.) Batsch.	Jilin, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	13	-	94	Reniform	Common	2,4	146	252	700
Huo Lian Jin Dan	SRR830509	P. persica (L.) Batsch.	Yunnan, China	Peach	Round	Yellow	Clingstone	Melting	Acid	Single	Showy	-	10,7	-	131	Reniform	Common	1,88	149	275	600
IF7310828	SRR503000	P. persica (L.) Batsch.	semidwarf selection	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ji Lin 8903	SRR830541	P. persica (L.) Batsch.	Jilin, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	9,5	-	158	Reniform	Common	2,54	83	257	800
Jin Feng	SRR830578	P. persica (L.) Batsch.	Henan, China	Peach	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	130	Reniform	Common	2,56	109	261	750
Jin Mi Xia Ye Tao	SRR830498	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	Yellow	Clingstone	Non-melting	Sub-acid	Single	Non-showy	-	12	-	153	Globose	Common	2,26	103	267	750
Jin Ta You Pan Tao	SRR830531	P. persica (L.) Batsch.	Gansu, China	Nectarine	Flat	White	Clingstone	Non-melting	Acid	Single	Showy	-	16,5	-	36,8	Reniform	Common	2,4	157	250	800
Jing Yu	SRR830547	P. persica (L.) Batsch.	Beijing, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,8	-	145,75	Reniform	Common	2,42	136	250	800
Ju Hua Tao	SRR830554	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Chrysanthemum	-	10	-	50	Reniform	Common	2,47	170	268	1200
Ka Shi Huang Rou Li Guang	SRR830496	P. persica (L.) Batsch.	Xinjiang, China	Nectarine	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	12,2	-	85,5	Reniform	Common	2,11	116	270	900
Li He Tian Ren	SRR1994352	P. persica (L.) Batsch.	Xinjiang, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11,5	-	111	Reniform	Common	2,7	168	272	750
Li-07-1-13	SRR830579	P. persica (L.) Batsch.	NA	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	90	Reniform	Common	2,5	71	-	750
Long 1-2-4	SRR830535	P. persica (L.) Batsch.	Gansu, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	11,7	-	138	Reniform	Common	2,52	138	269	700
Lovell	SRR502985	P. persica (L.) Batsch.	chance seedling	Peach	Round	Yellow	Freestone	Melting	Acid	-	Non-showy	-	-	-	-	Globose	-	-	-	-	-
Mai Huang Pan Tao	SRR1994385	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Peach	Flat	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	11	89,6	70	-	-	-	-	-	-
Mao Tao	SRR1994366	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Peach	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	11	-	78	-	-	-	-	-	-	-
Maravilha	SRR3237760	P. persica (L.) Batsch.	Sunred x (Okinawa x Hiland) op.	Peach	Round	White	Semi-Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Maria Serena	SRR1994377	P. persica (L.) Batsch.	Improved variety from crosses, Italy	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	7,6	7	130	113,7	-	-	-	-	-	-
May Fire	SRR830548	P. persica (L.) Batsch.	USA	Nectarine	Round	Yellow	Clingstone	Melting	Acid	Single	Showy	-	8,7	-	71,9	Globose	Common	1,82	65	257	550
Mei Gui Hong	SRR830546	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	123	Globose	Common	2,39	99	260	650
Nan Shan Tian Tao	SRR830508	P. persica (L.) Batsch.	Guangdong, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,2	-	105	Reniform	Common	2,13	146	274	200
NJC77	SRR1994367	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Non-showy	12,6	10	157,3	112,3	-	-	-	-	-	-
NJN76	SRR830577	P. persica (L.) Batsch.	USA	Nectarine	Round	Yellow	Clingstone	Non-melting	Acid	Single	Non-showy	-	12,7	-	109,4	Reniform	Common	2,17	94	267	800
Okitsu	SRR830521	P. persica (L.) Batsch.	Japan	Nectarine	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	13,5	-	113,7	Reniform	Common	2,34	121	252	850
Okubo	SRR830524	P. persica (L.) Batsch.	Japan	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	11,8	-	159	Reniform	Common	2,09	112	261	900
Oro A	SRR502986	P. persica (L.) Batsch.	Diamante op.	Peach	Round	Yellow	Semi-Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Phillips	SRR1994380	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Clingstone	Non-melting	-	Single	Non-showy	12,9	12,5	135	116,5	-	-	-	-	-	-
